direction,entry_date,entry_price,exit_date,exit_price,shares,pnl,return_pct,exit_reason
SHORT,2024-03-19,22.79,2024-04-02,23.84,4168.49,-4376.92,-4.61,trailing_stop
LONG,2024-04-08,25.4,2024-04-22,24.93,3576.45,-1680.93,-1.85,trailing_stop
LONG,2024-05-13,25.8,2024-05-23,27.55,3459.11,6053.44,6.78,trailing_stop
LONG,2024-06-05,27.4,2024-06-07,26.67,3467.0,-2530.91,-2.66,trailing_stop
LONG,2024-06-07,26.67,2024-06-25,26.4,3471.75,-937.37,-1.01,trailing_stop
LONG,2024-06-25,26.4,2024-07-18,27.2,3473.52,2778.82,3.03,trailing_stop
LONG,2024-08-07,24.33,2024-08-29,26.81,3877.55,9616.33,10.19,signal_flip
SHORT,2024-08-29,26.81,2024-09-09,25.85,3859.62,3705.23,3.58,signal_flip
LONG,2024-09-09,25.85,2024-10-09,27.86,4139.12,8319.64,7.78,trailing_stop
LONG,2024-10-09,27.86,2024-10-31,29.81,4124.19,8042.17,7.0,trailing_stop
LONG,2024-11-26,27.8,2024-12-18,26.85,4407.91,-4187.51,-3.42,trailing_stop
LONG,2025-01-06,27.24,2025-02-13,29.46,4352.49,9662.53,8.15,signal_flip
SHORT,2025-02-13,29.46,2025-03-05,29.77,4336.09,-1344.19,-1.05,trailing_stop
SHORT,2025-03-05,29.77,2025-03-13,30.74,4248.04,-4120.6,-3.26,trailing_stop
SHORT,2025-03-17,30.81,2025-04-07,27.14,3977.6,14597.78,11.91,signal_flip
LONG,2025-04-07,27.14,2025-04-22,29.5,5026.44,11862.4,8.7,signal_flip
SHORT,2025-04-22,29.5,2025-05-22,30.03,5006.34,-2653.36,-1.8,signal_flip
LONG,2025-05-22,30.03,2025-06-02,31.59,4834.04,7541.1,5.19,signal_flip
SHORT,2025-06-02,31.59,2025-06-09,33.39,4822.1,-8679.78,-5.7,trailing_stop
LONG,2025-07-15,34.26,2025-07-25,34.66,4205.62,1682.25,1.17,signal_flip
SHORT,2025-07-25,34.66,2025-08-11,34.18,4203.19,2017.53,1.38,signal_flip
LONG,2025-08-11,34.18,2025-09-15,38.76,4318.29,19777.77,13.4,signal_flip
SHORT,2025-09-15,38.76,2025-09-22,40.04,4292.78,-5494.77,-3.3,trailing_stop
SHORT,2025-09-22,40.04,2025-09-26,41.86,4025.18,-7325.82,-4.55,trailing_stop
LONG,2025-10-13,47.26,2025-10-21,43.79,3262.98,-11322.54,-7.34,trailing_stop
LONG,2025-10-21,43.79,2025-11-17,45.47,3275.91,5503.53,3.84,trailing_stop
LONG,2025-11-17,45.47,2025-12-29,66.01,3269.86,67162.92,45.17,trailing_stop
LONG,2025-12-29,66.01,2025-12-31,64.42,3218.99,-5118.2,-2.41,trailing_stop
LONG,2025-12-31,64.42,2026-01-08,69.71,3222.96,17049.45,8.21,trailing_stop
LONG,2026-01-08,69.71,2026-01-30,75.44,3210.73,18397.49,8.22,trailing_stop
LONG,2026-01-30,75.44,2026-02-05,66.69,3198.54,-27987.19,-11.6,trailing_stop
LONG,2026-02-05,66.69,2026-02-12,67.73,3219.52,3348.3,1.56,trailing_stop
